# Se mide en milisegundos lo que tarda en ejecutarse cada operación 10000 veces consecutivamente
# Tamaño    Extract_min   Min       Decrease_key    Union
0              0         0.3234         0.43        0.53
5000           7.83      0.3234         0.43        0.53
10000          17.31     0.3234         0.43        0.53
20000          22.71     0.3234         0.43        0.53
40000          23.63     0.3234         0.43        0.53
60000          24.12     0.3234         0.43        0.53
80000          24.64     0.3234         0.43        0.53
100000         26.30     0.3234         0.43        0.53
120000         26.81     0.3234         0.43        0.53
140000         27.98     0.3234         0.43        0.53
160000         29.78     0.3234         0.43        0.53
180000         30.45     0.3234         0.43        0.53
200000         32.62     0.3234         0.43        0.53
220000         34.16     0.3234         0.43        0.53
240000         35.92     0.3234         0.43        0.53
260000         36.84     0.3234         0.43        0.53
280000         38.12     0.3234         0.43        0.53
300000         40.98     0.3234         0.43        0.53


