# Se mide en microsegundos lo que tarda en ejecutarse cada operación una única vez
# Tamaño    Extract_min    Min    Decrease key  Union    
0              0.0         0.0       0.0         0.0
5000           490        3.234      3.1         5.3
10000          1200       3.234      4.0         5.3
20000          2460       3.234      4.2         5.3
40000          3650       3.234      5.0         5.3
60000          6690       3.234      5.2         5.3
80000          9120       3.234      5.5         5.3
100000         12250      3.234      6.1         5.3
120000         13130      3.234      6.5         5.3
140000         14670      3.234      6.0         5.3
160000         17430      3.234      6.2         5.3
180000         18980      3.234      6.2         5.3
200000         21830      3.234      6.5         5.3
220000         24120      3.234      7.3         5.3
240000         27410      3.234      6.9         5.3
260000         29980      3.234      7.9         5.3
280000         30890      3.234      6.6         5.3
300000         42760      3.234      7.1         5.3
